## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPAC144.17c	1166	728	286	361	248	299	196	129	624	751	526	331	1354	1078	997	597
SPAC144.18	4536	4093	638	1722	696	1362	421	640	558	1168	616	497	2557	3023	1789	1940
SPAC1486.01	11064	4107	2696	2449	1709	1578	1382	898	709	756	741	379	3215	2406	2509	1922
SPAC1486.02c	1684	1146	254	595	242	353	176	219	732	1138	678	538	1496	1600	992	1054
SPAC1486.03c	915	766	112	367	90	221	53	131	1563	2134	850	1107	2295	2517	1427	1441
SPAC1486.04c	1553	1479	388	802	329	448	273	283	5173	7839	3209	4188	7310	8796	5343	5446
SPAC1486.05	4353	5117	990	2683	787	1856	666	870	6739	12212	5091	5479	14015	16889	10335	11104
SPAC1486.06	1425	1980	233	870	266	807	195	331	906	2023	662	991	2133	2965	1645	1850
SPAC1486.07c	1132	485	169	412	250	194	215	182	185	416	137	208	587	722	355	513
SPAC1486.08	223	270	13	92	46	78	20	35	328	604	211	369	340	609	233	389
SPAC1486.09	494	1176	60	737	81	374	34	289	592	2229	245	1083	729	2388	339	1236
SPAC1486.10	455	723	72	308	57	223	59	92	1267	2641	860	1262	2512	3741	1738	1950
SPAC1486.11	484	214	94	135	96	79	83	84	149	160	92	81	215	217	150	115
SPAC14C4.01c	4596	535	699	265	584	171	356	75	798	318	666	215	1911	429	1354	344
SPAC14C4.02c	524	464	105	218	80	182	67	86	2715	4065	1598	2097	3150	3699	2185	2075
SPAC14C4.03	35	7	16	13	2	8	0.5	1	140	95	130	68	205	114	186	57
SPAC14C4.04	3762	2198	883	1158	772	825	738	426	464	663	401	251	1964	1544	1498	940
SPAC14C4.05c	1432	888	291	474	211	349	193	141	846	1030	533	427	1985	1851	1211	1037
SPAC14C4.06c	1708	931	271	367	261	313	172	119	544	755	443	313	1396	1214	938	673
SPAC14C4.07	1826	754	464	401	272	269	345	148	2006	1472	2009	676	4393	2307	3162	1265
SPAC14C4.08	10	9	2	4	5	7	2	1	5	22	6	8	19	22	8	12
SPAC14C4.09	11479	1805	1345	823	2982	780	1968	292	3366	2187	2773	846	13098	4150	9853	1890
SPAC14C4.10c	568	251	77	76	54	78	31	28	421	430	502	225	662	466	442	279
SPAC14C4.11	3116	5953	852	3335	607	2174	557	1155	1927	4379	995	1697	5139	8022	2788	4612
SPAC14C4.12c	215	765	4	308	23	351	11	141	127	526	147	211	554	1249	337	681
SPAC14C4.13	141	109	16	68	20	25	15	23	893	1374	434	630	988	1116	658	660
SPAC14C4.14	29499	20626	7099	10894	4046	6751	3702	3428	3173	5026	4089	2852	10391	9847	8515	8032
SPAC14C4.15c	283	126	45	67	70	60	31	21	748	1229	508	599	1640	1787	1123	1108
SPAC14C4.16	339	152	16	50	55	54	10	21	80	96	27	33	129	137	50	45
SPAC1527.01	21	6	8	7	6	1	3	0.5	1481	2386	1146	995	3121	2971	2498	1772
SPAC1527.02	2237	707	245	356	318	239	216	166	123	155	108	66	461	330	322	223
SPAC1527.03	558	1443	83	677	110	530	65	238	911	2801	506	1200	1757	3496	847	1906
SPAC1556.01c	941	532	204	271	158	156	122	88	4430	3527	2647	1638	5004	3307	3344	1811
SPAC1556.02c	15321	9358	4172	5454	2522	2991	2430	1718	3588	5360	3682	2589	11631	10735	10249	8546
SPAC1556.03	201	352	19	144	30	157	15	56	214	511	148	259	537	964	471	604
SPAC1556.04c	9044	112	1218	52	1975	37	1117	24	2707	260	1969	203	3008	140	2190	91
SPAC1556.05c	342	596	33	497	102	185	45	221	86	496	51	226	170	595	83	368
SPAC1556.06.1	20	21	5	9	5	14	6	3	189	470	122	285	242	552	207	259
SPAC1556.06.2	4	9	3	4	1	1	4	0.5	12	21	18	14	29	25	37	18
SPAC1556.07	7194	10181	1275	6520	1512	3691	1256	2378	705	1997	572	1084	2736	4257	2065	3438
SPAC1556.08c	4820	1660	778	894	1016	643	889	393	1182	1284	1023	728	3267	2354	2722	1618
SPAC1565.01	4485	3096	959	1568	932	1269	770	682	512	954	578	471	2372	2033	1629	1414
SPAC1565.02c	940	389	149	220	122	167	113	81	400	595	445	323	827	890	574	562
SPAC1565.03	6	8	2	2	0.5	4	2	3	54	92	57	36	128	111	113	61
SPAC1565.04c	651	267	72	203	105	117	49	58	261	549	156	269	311	518	212	298
SPAC1565.05	696	1512	141	821	98	616	90	262	999	3185	500	1246	2355	5101	1088	2583
SPAC1565.06c	1267	597	152	300	218	215	136	128	190	244	199	150	605	485	452	358
SPAC1565.07c	1015	685	163	310	138	231	114	109	1494	1678	975	810	2270	2003	1489	1174
SPAC1565.08	39543	26692	9912	14430	6799	9177	7637	5350	6217	8890	5941	4242	21111	19667	16174	14440
SPAC15A10.01	845	586	201	322	155	180	139	92	993	1268	900	653	2513	2278	2096	1518
SPAC15A10.02	1833	1911	318	1027	283	690	206	358	1159	2356	801	1054	1897	2776	1147	1578
SPAC15A10.03c	1784	874	329	364	314	290	305	136	1468	1895	902	716	3328	2256	1885	1166
SPAC15A10.04c	717	3537	141	1804	100	1219	72	582	436	2840	220	1291	930	4225	446	2545
SPAC15A10.05c	1834	278	295	133	239	99	181	72	360	207	428	80	755	359	591	210
SPAC15A10.06	1449	779	254	346	250	270	232	124	749	905	646	396	1887	1678	1303	955
SPAC15A10.07	1095	490	187	210	226	214	141	74	256	261	180	127	618	439	428	313
SPAC15A10.08	1185	976	174	553	203	322	157	230	826	1479	477	671	1650	2020	1058	1238
SPAC15A10.09c	686	1043	89	363	139	375	124	168	208	670	153	263	576	982	375	542
SPAC15A10.10	17	31	5	15	1	8	3	10	189	313	175	172	332	380	585	319
SPAC15A10.11	3419	2705	744	1195	636	905	659	457	5758	7494	4948	3600	11532	9445	8613	6708
SPAC15A10.12c	1267	517	159	220	177	172	92	89	127	189	88	89	296	336	222	211
SPAC15A10.13	690	764	76	347	122	299	48	158	947	1785	502	804	1312	1975	716	1024
SPAC15A10.15	681	681	145	331	127	224	96	95	1440	2146	813	839	2039	2069	1201	945
SPAC15A10.16	1748	1755	452	866	280	508	384	294	3348	4884	2748	2328	5061	5012	3664	3099
SPAC15A10.17	1023	833	129	337	158	366	64	88	51	191	66	80	225	377	175	235
SPAC15E1.02c	7599	421	1513	176	491	156	385	72	192	37	172	21	704	154	439	126
SPAC15E1.03	6397	21539	300	12165	1163	10801	185	4375	366	2075	323	1075	1504	5487	985	4402
SPAC15E1.04	5542	2266	1209	1011	942	770	987	451	2071	2255	1662	875	5655	4018	3983	2360
SPAC15E1.05c	775	1002	130	475	130	327	105	179	353	889	269	419	968	1566	676	1038
SPAC15E1.06	646	553	77	368	100	194	77	136	327	603	226	380	720	1039	599	752
SPAC15E1.07c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	7	14	7	17	5	13	5	14
SPAC15E1.08	521	1080	138	714	153	510	125	311	218	816	223	439	463	1131	445	872
SPAC15E1.09	594	327	264	280	111	157	177	100	154	175	146	110	464	328	381	282
SPAC15E1.10	1552	314	288	174	155	109	102	61	400	220	228	94	749	376	441	219
SPAC15F9.01c	22	5	1	2	3	1	1	0.5	35	24	15	14	36	15	24	8
SPAC15F9.02	2332	1510	371	939	348	592	281	422	632	997	428	449	1298	1670	879	1095
SPAC15F9.03c	7951	3811	1710	3460	1683	1678	1219	1491	143	312	118	133	973	1113	679	987
SPAC16.01	1003	571	100	168	173	188	90	79	159	258	97	109	403	438	277	222
SPAC16.02c	9235	14032	1352	7610	1631	4962	994	2761	686	2163	728	1003	2885	4489	1954	3231
SPAC16.03c	901	907	144	497	148	363	122	220	302	716	211	304	980	1480	561	947
SPAC16.04	708	1521	125	707	103	459	53	265	736	1871	387	868	1463	2687	698	1396
SPAC16.05c	2352	5244	103	1310	227	1590	34	314	2877	8527	1782	2282	5177	8424	2212	2757
SPAC1610.01	421	397	104	209	58	151	67	95	143	269	101	161	301	427	204	280
SPAC1610.02c	535	443	67	207	103	211	52	78	565	1146	577	598	1040	1400	730	802
SPAC1610.03c	20	23	8	12	3	4	4	2	25	16	10	9	29	36	19	27
SPAC1610.04	458	504	86	235	91	185	80	103	981	1227	786	553	2042	1475	1383	860
SPAC1635.01	24559	8346	8427	5783	3436	3232	4357	2002	2067	1917	2531	907	8164	4840	6972	4176
SPAC1639.01c	3938	2914	499	1418	855	1077	391	495	849	1561	944	742	3169	3000	2351	2028
SPAC1639.02c	431	173	66	83	90	68	72	53	2038	2419	1369	1359	3114	2809	2163	1604
SPAC167.01	970	559	181	269	112	197	96	87	1180	1604	852	669	2430	2414	1598	1169
SPAC167.02	1325	669	173	315	173	219	126	130	583	786	417	379	662	759	507	449
SPAC167.03c	863	890	158	350	149	264	85	132	1418	2580	526	927	1561	2374	884	923
SPAC167.04	1599	787	183	484	266	291	128	188	677	955	538	506	1041	1211	854	766
SPAC167.05	3922	1204	845	593	794	396	601	202	1957	1594	1728	653	3739	2163	2542	1181
SPAC167.06c	8916	234	1945	124	1388	71	1028	50	446	27	419	28	1434	96	1065	86
SPAC167.07c	2147	671	463	315	283	180	301	98	2126	1611	1527	610	3249	2091	2201	1056
SPAC167.08	719	145	4	2	319	44	214	36	1955	1579	1854	911	5415	1832	4977	1139
SPAC167.09	452	205	70	71	68	86	46	30	184	195	154	128	414	309	334	190
SPAC1687.01	537	1331	82	722	164	559	91	354	57	315	41	136	203	654	121	421
SPAC1687.02	868	351	126	123	147	98	89	43	430	446	300	246	766	546	535	303
SPAC1687.03c	778	1116	85	600	108	477	81	244	384	1095	238	484	885	1828	592	1246
SPAC1687.04	947	579	149	243	120	145	103	96	455	564	235	276	882	878	448	439
SPAC1687.05	690	417	120	209	133	157	105	108	1883	2644	1522	1235	3308	2975	2340	1657
SPAC1687.06c	3465	11658	201	14119	632	6687	109	5813	417	3396	323	1734	1693	8822	1190	7630
SPAC1687.07	1699	245	205	101	197	95	109	30	304	149	289	78	450	200	357	138
SPAC1687.08	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	210	126	178	72	355	209	246	104
SPAC1687.09	668	640	172	269	101	221	91	103	3030	4392	2885	1913	5239	4626	3335	2952
SPAC1687.10	113	178	5	74	17	82	13	28	293	1228	207	553	641	1724	405	796
SPAC1687.11	894	2575	144	1457	121	846	103	448	1358	3798	606	1519	3007	5790	1455	3077
SPAC1687.12c	2156	1494	352	921	350	617	260	378	410	661	352	345	1011	1171	748	805
SPAC1687.13c	374	354	43	111	45	157	37	69	211	495	216	211	507	724	379	471
SPAC1687.14c	1020	194	152	69	191	83	96	15	211	110	174	41	423	151	267	100
SPAC1687.15	2986	1762	484	734	491	655	335	297	975	1221	932	616	2096	1681	1409	1125
SPAC1687.16c	1032	1056	101	442	296	430	176	250	207	635	254	317	614	829	376	594
SPAC1687.17c	744	592	71	303	140	194	94	112	135	325	114	153	430	549	305	357
SPAC1687.18c	759	336	101	182	222	133	85	102	1009	1404	787	721	1785	1921	1545	1223
SPAC1687.19c	496	1002	56	665	89	370	34	262	298	901	139	386	788	1697	394	1018
SPAC1687.20c	150	101	18	67	16	33	10	21	296	695	223	340	551	782	281	384
SPAC1687.21	4046	3201	669	1875	920	1303	589	877	497	915	401	480	1520	1794	1210	1305
SPAC1687.22c	3281	947	870	426	459	356	385	133	2077	1470	2077	592	3596	1894	1863	959
SPAC1687.23c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
SPAC16A10.01	1891	203	449	78	235	65	197	32	1406	456	1238	183	2486	607	1394	334
SPAC16A10.02	385	346	55	231	68	140	46	122	338	656	231	378	394	711	271	453
SPAC16A10.03c	1035	337	145	194	180	115	108	69	935	1126	628	501	2059	1591	1472	916
SPAC16A10.04	1903	659	286	371	540	291	393	153	237	282	187	164	860	587	735	362
SPAC16A10.05c	372	142	53	96	88	37	68	55	47	52	38	35	95	69	55	50
SPAC16A10.06c	350	229	42	90	59	64	33	34	324	409	248	229	412	444	332	246
SPAC16A10.07c	976	524	145	258	203	192	130	99	1334	1851	851	771	2418	2313	1430	1224
SPAC16A10.08c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	391	368	252	178	596	406	472	232
SPAC16C9.01c	1671	671	282	341	262	238	188	132	891	596	720	327	1757	786	1407	535
SPAC16C9.02c	823	2726	106	1392	125	937	50	611	236	1401	194	676	585	2374	485	1664
SPAC16C9.03	1514	2264	252	1316	237	846	187	502	1013	2727	534	1140	2286	4109	1118	2139
SPAC16C9.04c	2127	1528	360	849	421	501	249	272	1335	2238	1055	923	2708	2679	1744	1465
SPAC16C9.05	862	779	172	362	139	295	97	134	860	1427	656	739	1270	1479	779	853
SPAC16C9.06c	1668	1487	307	826	289	610	203	347	1045	1953	846	1037	2817	3536	1909	2387
SPAC16C9.07	369	586	76	230	62	206	40	89	1188	2434	778	1081	1915	2992	1245	1490
SPAC16E8.01	5984	4280	1428	2202	1171	1422	1044	732	4451	5657	4095	2763	7699	5895	4937	3939
SPAC16E8.02	571	74	79	46	65	37	63	16	276	209	246	104	630	402	472	262
SPAC16E8.03	218	61	63	35	23	14	38	17	143	109	123	38	357	244	249	130
SPAC16E8.04c	2064	1411	471	660	484	449	504	239	750	1119	769	567	1668	1534	1445	987
SPAC16E8.05c	11	3	0.5	5	3	2	1	3	10	7	3	5	9	15	2	5
SPAC16E8.06c	374	1635	56	733	64	483	41	312	647	2422	252	1152	733	2589	399	1264
SPAC16E8.07c	7313	4747	1919	3072	1441	1460	1452	1026	3494	4945	3280	2445	9858	8996	8358	6347
SPAC16E8.08	839	462	89	187	173	154	95	81	300	618	196	206	570	673	261	285
SPAC16E8.09	871	515	185	319	161	203	149	130	1623	1871	1233	807	3846	2724	2507	1493
SPAC16E8.10c	897	879	100	365	153	381	97	135	432	1063	361	560	848	1429	608	841
SPAC16E8.11c	1040	667	151	361	201	263	129	173	918	1436	585	689	1508	1816	932	994
SPAC16E8.12c	160	200	30	66	38	84	11	32	436	1010	366	547	464	807	401	488
SPAC16E8.13	533	354	69	162	83	115	61	62	617	879	419	328	1317	1324	783	643
SPAC16E8.14c	324	502	59	380	60	210	29	170	40	205	31	108	108	379	69	262
SPAC16E8.15	2881	2943	506	2773	481	1139	338	941	335	1236	217	596	1045	2359	726	1556
SPAC16E8.16	6417	739	405	494	860	290	215	190	473	289	393	110	2802	1185	2159	797
SPAC16E8.17c	3203	1873	729	983	564	664	518	316	953	1158	699	559	2227	1881	1702	1231
SPAC16E8.18	2	3	0.5	0.5	0.5	3	0.5	1	73	185	64	88	180	231	113	117
SPAC16E8.18c	283	214	52	62	52	69	25	25	149	184	147	121	418	354	356	252
SPAC1705.02	1268	869	149	424	174	413	100	150	123	164	89	112	193	313	158	234
SPAC1705.03c	27364	48296	5232	20632	8054	17412	8246	7020	3514	10483	3395	4573	11412	14601	6799	9009
SPAC1751.01c	832	220	174	90	83	95	47	37	265	180	400	96	297	149	167	111
SPAC1751.02c	961	635	84	267	172	297	72	148	184	296	114	195	357	537	241	403
SPAC1751.03	4091	7440	491	4500	753	3141	289	1598	1757	5293	1525	2937	4148	8690	2933	6211
SPAC1751.04	97	297	7	87	23	88	11	12	42	200	27	70	154	448	77	241
SPAC1782.01	2673	1454	573	678	350	489	350	252	3796	3854	3193	1883	7133	5706	5413	3623
SPAC1782.02c	943	1352	144	624	234	470	174	312	151	494	149	220	413	785	335	491
SPAC1782.03	442	390	76	123	69	129	55	52	913	1285	434	489	903	970	448	372
SPAC1782.04	1239	704	123	286	211	284	111	99	204	339	170	166	500	670	295	367
SPAC1782.05	945	931	137	441	154	260	157	157	642	1023	434	494	1041	1189	742	697
SPAC1782.06c	3145	1894	363	907	731	725	326	411	468	745	343	358	1364	1483	905	1002
SPAC1782.07	5453	4898	713	1666	1052	1672	590	789	398	785	310	462	1174	1532	880	1194
SPAC1782.08c	81	273	10	151	10	124	4	55	1651	2871	976	1287	2567	2945	1528	1586
SPAC1782.09c	1122	688	177	343	186	245	150	143	786	1239	512	498	1947	1839	1198	1108
SPAC1782.10c	970	2365	95	1357	237	757	88	508	493	1928	312	1096	823	2405	531	1652
SPAC1782.11	2107	8439	350	4816	327	3526	257	2109	131	1143	112	615	503	2653	369	1962
SPAC1782.12c	2738	691	548	351	451	236	259	138	160	110	142	62	500	253	388	174
SPAC1783.01	928	1043	145	395	133	314	71	109	781	1604	656	644	1602	2247	896	1169
SPAC1783.02c	826	984	154	494	159	308	126	162	347	764	387	386	736	1070	574	683
SPAC1783.03	48	102	4	52	6	53	7	27	172	393	97	202	383	565	225	262
SPAC1783.04c	539	622	56	254	115	264	52	109	646	1445	605	742	1542	2018	1203	1454
SPAC1783.05	1553	2316	309	1134	290	710	238	412	2970	6609	1673	3036	4622	8014	3089	4616
SPAC1783.06c	207	99	13	35	27	54	12	13	50	59	27	20	186	147	138	81
SPAC1783.07c	2853	2233	710	958	583	933	530	342	2346	2826	1524	1007	5207	4303	3073	1988
SPAC1783.08c	2908	18125	184	8316	496	7832	117	3662	318	3477	276	1765	1399	8502	852	6742
SPAC1786.01c	3420	1999	592	927	511	665	479	395	3646	3323	3531	1638	7011	5057	5585	3231
SPAC1786.02	3928	5062	920	2321	722	2122	632	854	631	2582	591	647	2893	4893	1512	2386
SPAC1786.03	1001	1137	152	467	197	325	115	134	631	1231	469	504	1780	2083	1052	1055
SPAC1786.04	2	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	2	1	0.5	2	0.5
SPAC17A2.01	15576	28575	3195	15080	1265	6439	997	3427	3336	9443	2462	4431	5962	12746	2876	8355
SPAC17A2.02c	4462	2867	924	1381	982	1355	864	614	528	915	517	382	2802	2732	2207	1734
SPAC17A2.03c	3307	2134	647	1191	595	812	554	415	1233	1834	948	974	2743	2797	2382	1843
SPAC17A2.04c	364	741	64	389	59	293	38	159	247	780	123	331	495	1265	272	609
SPAC17A2.05	5818	1999	1326	1066	974	730	1024	374	1176	1220	928	524	4272	2745	3176	1716
SPAC17A2.06c	1051	296	154	133	173	82	101	55	2149	2497	1506	913	5477	4010	3529	2034
SPAC17A2.07c	1068	422	105	135	143	136	70	65	227	334	118	130	445	473	245	242
SPAC17A2.08c	288	208	44	128	35	96	44	58	480	924	211	485	513	807	325	437
SPAC17A2.09c	5706	2636	1490	960	502	1077	425	273	1364	2310	1264	662	2085	3923	978	1532
SPAC17A2.10c	98	8	4	1	10	4	2	4	11	28	26	35	5	21	5	21
SPAC17A2.11	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	2	0.5	0.5	0.5	0.5	1
SPAC17A2.12	109	131	11	59	16	52	8	13	296	776	242	285	493	961	251	450
SPAC17A2.13c	19488	8518	5817	5648	4332	3340	4775	2029	3266	3316	3441	1828	8458	5786	6961	4227
SPAC17A2.14	795	1390	149	604	165	537	126	264	1062	1664	952	779	3127	3111	2200	1946
SPAC17A5.01	809	640	171	328	165	265	143	127	1238	2359	931	1043	2534	2896	1874	1644
SPAC17A5.02c	388	399	40	216	56	144	36	95	550	1086	339	562	856	1376	593	762
SPAC17A5.03	8308	49734	702	25681	1321	23498	352	9778	1199	8609	1148	4090	5131	20691	3925	17796
SPAC17A5.04c	6	8	0.5	10	1	3	0.5	0.5	308	640	207	242	762	1030	524	509
SPAC17A5.05c	360	383	39	144	50	111	32	57	108	265	72	81	343	502	245	259
SPAC17A5.06	1514	693	358	357	291	218	250	131	2094	2452	1400	1035	3776	3267	2632	1736
SPAC17A5.07c	445	286	69	158	72	127	50	65	1157	1863	775	927	1972	2179	1116	1211
SPAC17A5.08	3520	2269	494	1276	756	838	503	500	1516	2106	1311	1346	2105	2155	1775	1527
SPAC17A5.09c	1117	794	205	505	240	311	196	217	664	743	369	404	1066	1038	617	674
SPAC17A5.10	1126	284	196	145	182	144	103	49	354	299	276	131	607	323	294	188
SPAC17A5.11	47	28	2	17	6	13	5	1	122	149	110	82	249	169	237	108
SPAC17A5.12	1075	906	254	506	159	309	172	174	1664	2562	991	1086	2127	2428	1250	1183
SPAC17A5.13	924	981	158	614	148	371	92	274	524	1045	368	530	935	1515	653	890
SPAC17A5.14	3265	2309	811	1175	544	778	564	380	4231	5687	3134	2749	7842	7049	5597	4189
SPAC17A5.15c	5164	11881	892	7199	883	5013	617	2594	2684	7460	2448	4338	7259	13752	5674	10857
SPAC17A5.16	1142	1091	251	560	198	404	147	195	1211	1928	1069	946	2418	2442	1491	1483
SPAC17A5.18c	5	14	0.5	3	4	2	0.5	1	58	53	67	49	68	62	100	47
SPAC17A5.19	151	57	23	35	33	13	23	13	91	150	73	73	175	177	118	120
SPAC17C9.01c	402	215	81	119	81	89	57	48	927	1376	495	568	1857	2034	1035	963
SPAC17C9.02c	83	150	14	47	11	71	11	21	90	287	65	148	209	534	151	311
SPAC17C9.03	4112	12150	1065	6741	741	3980	732	2196	8403	22165	6250	13964	13458	25924	9156	19722
SPAC17C9.05c	303	217	45	69	65	66	43	27	218	325	141	117	504	477	332	199
SPAC17C9.06	2206	1023	548	495	371	350	302	184	933	1035	787	421	2212	1817	1850	1000
SPAC17C9.07	1645	1279	160	655	353	418	158	265	737	1224	695	636	2322	2436	1535	1609
SPAC17C9.08	1165	820	168	482	176	326	130	180	637	945	401	465	1072	1344	758	834
SPAC17C9.09c	2452	2567	399	1234	585	1065	272	477	137	250	77	118	509	723	310	505
SPAC17C9.10	5234	2634	915	1129	942	905	925	394	994	1200	937	611	3007	1779	2252	1243
SPAC17C9.11c	2074	601	402	362	358	208	305	131	700	674	780	372	1093	685	762	466
SPAC17C9.12	9736	2540	1939	1734	1505	967	1101	645	2832	2147	2703	1332	4266	2294	3332	1713
SPAC17C9.13c	1777	1481	281	585	272	716	175	283	981	1573	513	713	1907	2347	1082	1215
SPAC17C9.14	366	534	52	259	58	156	70	114	959	1521	742	967	923	1288	788	848
SPAC17C9.15c	210	292	16	99	26	119	11	33	308	523	210	268	413	513	246	366
SPAC17C9.16c	4352	152	569	60	929	95	512	32	3416	434	2953	269	9906	1220	6942	745
SPAC17D4.01	2253	2183	54	747	599	751	99	361	3715	6812	3467	3704	9785	9583	9101	7288
SPAC17D4.02	282	464	39	203	32	183	22	82	436	1109	220	485	887	1779	477	875
SPAC17D4.03c	865	881	165	327	168	291	140	121	1190	1798	806	705	2760	2666	1741	1363
SPAC17D4.04	556	1145	59	565	110	400	44	202	1294	2624	843	1381	1519	2682	1043	1702
SPAC17G6.02c	611	737	94	197	80	337	61	72	249	443	236	178	558	976	316	350
SPAC17G6.03	2733	276	579	169	622	126	583	67	1033	398	985	156	4229	1011	3540	623
SPAC17G6.04c	932	806	124	280	121	253	94	96	930	1328	652	562	1757	1927	1195	1087
SPAC17G6.05c	1838	1109	329	633	308	379	204	182	1316	1515	859	605	2620	2258	1832	1387
SPAC17G6.06	4496	10918	370	7696	776	4857	264	3375	318	1960	232	1091	1237	5144	890	4308
SPAC17G6.07c	561	641	52	249	94	204	28	96	515	769	320	458	691	955	570	597
SPAC17G6.08	842	223	112	96	142	65	80	52	1093	956	685	374	1620	1268	1021	616
SPAC17G6.09	2140	1488	347	788	378	688	267	312	515	982	509	416	1621	1863	1157	1161
SPAC17G6.10	1769	1700	230	729	258	554	163	249	1729	3113	1151	1303	3034	3596	1779	1963
SPAC17G6.11c	1682	2873	290	1295	324	1011	210	578	960	2559	593	1028	2406	4274	1393	2453
SPAC17G6.12	2313	871	469	462	423	305	381	208	1559	1554	1138	690	3174	2190	2136	1271
SPAC17G6.13	3131	1408	722	767	394	380	361	285	1978	1578	1551	646	3679	2030	2474	1710
SPAC17G6.14c	9846	12929	1733	7377	1900	4818	1661	2963	1811	4023	1777	2122	6417	8626	5439	6458
SPAC17G6.15c	1876	2408	353	1326	299	832	190	489	373	1161	352	486	1230	2402	802	1595
SPAC17G6.16c	1933	1264	128	613	293	470	97	239	2419	3369	1867	1828	3604	3995	2887	2533
SPAC17G6.17	163	236	27	87	24	91	8	38	586	1130	358	470	917	1317	614	644
SPAC17G8.01c	707	727	95	374	104	325	84	153	848	1989	415	711	2126	3257	996	1378
SPAC17G8.02	868	565	131	243	126	226	69	109	210	356	185	116	730	786	534	392
SPAC17G8.03c	1090	579	257	279	240	248	221	139	506	598	418	368	881	811	700	486
SPAC17G8.04c	4670	3315	750	1665	947	1426	674	780	557	842	465	588	1184	1292	969	910
SPAC17G8.05	287	295	27	106	54	111	20	51	177	379	137	192	337	466	238	261
SPAC17G8.06c	8862	14422	2055	7895	1584	4313	1409	2439	2100	5619	2029	2668	9131	13620	8003	9929
SPAC17G8.07	215	670	19	180	37	249	20	56	413	801	358	383	1000	1293	773	876
SPAC17G8.08c	1280	2118	187	1112	243	679	132	382	290	962	240	467	1121	2141	823	1484
SPAC17G8.09	135	158	19	86	46	64	26	26	95	269	58	164	111	165	88	125
SPAC17G8.10c	1550	386	302	131	267	134	200	77	603	357	413	157	1038	619	699	279
SPAC17G8.11c	1960	1661	349	687	287	557	238	202	371	764	313	297	1328	1657	896	793
SPAC17G8.12	553	414	127	195	100	170	90	72	1363	1768	919	673	1853	1662	1125	829
SPAC17G8.13c	299	424	36	154	32	129	26	60	787	1237	513	675	1311	1569	1063	867
SPAC17G8.14c	1650	1226	326	637	338	481	240	235	1549	2467	1059	970	3441	3647	1988	2011
SPAC17G8.15	97	128	9	32	9	38	5	9	23	56	15	28	44	109	40	69
SPAC17H9.01	157	278	53	139	31	111	31	55	2166	3346	1521	1645	3151	3394	2180	1892
SPAC17H9.02	700	810	118	379	120	266	105	145	1393	2919	1002	1502	2752	3658	2042	2150
SPAC17H9.03c	161	162	11	31	35	56	11	23	139	187	111	78	438	396	311	173
SPAC17H9.04c	545	1822	55	782	79	747	30	338	729	3664	352	1344	1540	5767	751	2613
SPAC17H9.05	878	2057	92	1167	177	718	96	456	1309	3883	591	1997	1749	4136	900	2247
SPAC17H9.06c	219	166	41	91	37	70	35	40	452	798	264	424	810	1030	630	493
SPAC17H9.07	810	527	150	588	233	211	116	224	82	264	67	137	459	802	285	588
SPAC17H9.08	90	207	12	93	9	76	6	24	206	474	148	237	442	772	287	390
SPAC17H9.09c	1256	1291	180	519	235	476	180	195	309	580	220	300	581	825	484	534
SPAC17H9.10c	511	744	70	361	76	263	74	129	1461	3055	1142	1459	3111	4286	2535	2546
SPAC17H9.11	1930	1532	320	828	397	591	380	364	161	296	151	153	515	648	433	488
SPAC17H9.12c	2700	2946	477	1537	352	1110	293	630	638	1275	455	686	1640	2347	1105	1698
SPAC17H9.13c	1753	1548	204	788	261	582	156	312	1433	1926	1232	950	2867	2617	2607	1612
SPAC17H9.14c	16797	9579	2752	5297	2313	3327	1486	1758	2635	3548	2603	1964	5472	6121	4623	4594
SPAC17H9.16	1348	1631	246	1124	273	731	182	476	311	896	233	533	767	1659	613	1248
SPAC17H9.17c	150	197	22	82	32	92	17	28	169	310	104	130	402	545	283	340
SPAC17H9.18c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
